Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,27.49262,27.69782,26.6044,26.69743,316036
2000-01-04,26.49459,26.49459,25.19597,25.49362,430588
2000-01-05,24.80442,25.39852,24.80442,25.10353,325369
2000-01-06,24.9946,26.19842,24.80442,25.9944,351632
2000-01-07,26.49459,28.49536,26.49459,27.90037,845486
2000-01-10,28.10086,29.69947,28.10086,28.60429,1036130
2000-01-11,28.30694,28.49536,27.3987,27.69782,570683
2000-01-12,27.80704,27.99782,27.60214,27.90037,330855
2000-01-13,28.90164,31.49828,28.90164,30.49142,1360496
2000-01-14,30.4031,31.2922,30.4031,30.6975,1801482
2000-01-17,30.49142,30.79465,29.99682,30.6975,567307
2000-01-18,30.19701,30.79465,29.09889,29.89966,841533
2000-01-19,29.30497,29.49044,28.80448,29.30497,422353
2000-01-20,29.49044,30.90064,29.20193,30.29711,955301
2000-01-21,29.99682,30.90064,29.99682,30.90064,523086
2000-01-24,30.79465,30.79465,29.69947,29.99682,426863
2000-01-25,29.20193,29.30497,28.3982,29.20193,485430
2000-01-26,29.60526,30.29711,29.60526,29.89966,374932
2000-01-27,29.69947,30.19701,29.60526,30.19701,182504
2000-01-28,29.80251,30.19701,29.20193,29.69947,397963
2000-01-31,29.30497,29.30497,28.90164,29.20193,215349
2000-02-01,29.49044,30.29711,29.09889,29.60526,462098
2000-02-02,29.49044,29.69947,29.09889,29.60526,322352
2000-02-03,29.60526,31.00074,29.60526,30.29711,400333
2000-02-04,30.49142,30.90064,29.39918,30.19701,688076
2000-02-07,29.99682,29.99682,29.30497,29.69947,321616
2000-02-08,29.80251,30.19701,29.49044,30.19701,231611
2000-02-09,30.29711,31.60426,29.49044,29.99682,624645
2000-02-10,29.30497,29.89966,29.30497,29.89966,496950
2000-02-11,29.99682,29.99682,29.49044,29.69947,393999
2000-02-14,29.49044,29.49044,28.99879,29.39918,337725
2000-02-15,29.80251,29.80251,29.39918,29.80251,186335
2000-02-16,29.99682,29.99682,29.39918,29.80251,304629
2000-02-17,30.19701,31.10378,29.80251,29.99682,503450
2000-02-18,30.1028,31.00074,30.1028,30.60329,717109
2000-02-21,28.99879,29.49044,28.99879,29.20193,291358
2000-02-22,29.80251,29.80251,29.09889,29.39918,241346
2000-02-23,29.99682,32.99385,29.99682,31.40407,1296545
2000-02-24,31.99582,34.49825,31.69847,33.10572,1698865
2000-02-25,35.20188,35.20188,33.19993,33.40013,1481664
2000-02-28,32.90553,33.60621,31.79268,33.19993,774528
2000-02-29,33.50022,33.50022,32.49925,32.7966,632164
2000-03-01,32.7966,33.19993,32.39915,33.10572,854133
2000-03-02,32.60524,32.99385,32.2019,32.49925,410693
2000-03-03,32.60524,32.99385,32.60524,32.90553,371983
2000-03-06,33.10572,33.10572,32.10475,32.2019,312076
2000-03-07,31.79268,31.79268,31.00074,31.19504,204366
2000-03-08,30.49142,31.19504,30.49142,30.79465,539054
2000-03-09,31.00074,31.00074,29.49044,29.49044,319970
2000-03-10,29.80251,30.29711,29.49044,29.80251,556530
2000-03-13,28.49536,28.80448,26.6044,27.20027,319426
2000-03-14,27.90037,32.69945,27.60214,31.90161,1333709
